config,grounding_time,planning_time
topk-10,0.0040,0.3067
topk-25,0.0040,0.3144
topk-50,0.0040,0.3441
topq-10,0.0040,0.2915
topq-15,0.0040,0.3036
topq-20,0.0040,0.3227
