config,Grounding_time,Average_planning_time
diverse-10p,0.0412,0.3098
diverse-15p,0.0412,0.3117
diverse-20p,0.0412,0.3163
diverse-25p,0.0412,0.3193
diverse-30p,0.0412,0.3241
topk-10p,0.0412,0.4119    
topk-15p,0.0412,0.4166
topk-20p,0.0412,0.4253
topk-25p,0.0412,0.4351
topk-30p,0.0412,0.4481
topq-10p,0.0412,0.3719
topq-15p,0.0412,0.3768
topq-20p,0.0412,0.3914
topq-25p,0.0412,0.4036
topq-30p,0.0412,0.4153
