config,Grounding_time,Average_planning_time
topk-10,0.0067,0.2158
topk-25,0.0067,0.1820
topk-50,0.0067,0.1881
topq-10,0.0067,0.6399
topq-15,0.0067,0.4430
topq-20,0.0067,0.4275
