config,grounding_time,planning_time
diverse-10,0.0021,0.2183
diverse-25,0.0021,0.1864
diverse-50,0.0021,0.1576
topk-10,0.0021,0.1933
topk-25,0.0021,0.1691
topk-50,0.0021,0.1596
topq-10,0.0021,0.3187
topq-15,0.0021,0.3500
topq-20,0.0021,0.3274
