config,grounding_time,planning_time
diverse-10,0.0183,0.4003
diverse-25,0.0183,0.3980
diverse-50,0.0183,0.4478
topk-10,0.0183,0.4125
topk-25,0.0183,0.4424
topk-50,0.0183,0.6096
topq-10,0.0183,0.4185
topq-15,0.0183,0.4864
topq-20,0.0183,0.5725
