config,Grounding_time,Average_planning_time
topk-10,0.0236,0.4801
topk-25,0.0236,0.4071
topk-50,0.0236,0.4660
topq-10,0.0236,0.4845
topq-15,0.0236,0.4990
topq-20,0.0236,0.5742
