config,grounding_time,planning_time
diverse-10,0.0227,0.3984
diverse-25,0.0227,0.3435
diverse-50,0.0227,0.3348
topk-10,0.0227,0.4497
topk-25,0.0227,0.5132
topk-50,0.0227,0.7145
topq-10,0.0227,0.4969
topq-15,0.0227,0.6017
topq-20,0.0227,0.7353
