config,Grounding_time,Average_planning_time
topk-10,0.0235,0.3805
topk-25,0.0235,0.1918
topk-50,0.0235,0.1885
topq-10,0.0235,0.4406
topq-15,0.0235,0.4872
topq-20,0.0235,0.5364
