config,Grounding_time,Average_planning_time
diverse-10c,0.0234,0.2958
diverse-15c,0.0567,0.3857
diverse-20c,0.1685,1.0124
diverse-25c,0.5865,1.7285
diverse-30c,1.9058,3.9695
topk-10c,0.0234,0.4163
topk-15c,0.0567,0.5353
topk-20c,0.1685,3.9824
topk-25c,0.5865,5.8483
topk-30c,1.9058,16.3060
topq-10c,0.0234,0.3899
topq-15c,0.0567,0.4978
topq-20c,0.1685,10.5433
topq-25c,0.5865,15.3804
topq-30c,1.9058,68.2111
