config,grounding_time,planning_time
topk-10,0.1380,0.9335
topk-25,0.1380,0.5756
topk-50,0.1380,0.5074
topq-10,0.1380,0.7772
topq-15,0.1380,0.8619
topq-20,0.1380,0.8659

